word,phonetic,meaning,part_of_speech,example_sentence,example_translation,domain
retain,,保留；保持,verb,"The model retains the original timing constraints to ensure a fair comparison across different implementations.",,Terminology
8 positions apart,,相隔8个位置,phrase,"The two peaks are 8 positions apart in the sampled sequence, which is consistent with the expected delay.",,Terminology
stack,,堆叠；把多个对象叠加在一起,verb,"We stack the feature maps along the channel dimension before feeding them into the next convolutional layer.",,Terminology
spatial,,空间的,adjective,"Spatial correlation between adjacent pixels is exploited to reduce redundant memory accesses.",,Terminology
spatial dimension,,空间维度,noun,"The spatial dimensions of the input are reduced after each pooling stage.",,Terminology
convolutional,,卷积的,adjective,"We adopt a convolutional backbone to extract local features from the input image.",,Terminology
scalar,,标量,noun,"The loss function outputs a scalar value for each training step.",,Terminology
vector,,向量,noun,"Each token is represented by a feature vector before entering the attention block.",,Terminology
tensor,,张量,noun,"The input tensor is reshaped to match the expected format of the accelerator.",,Terminology
aggregate,,聚合；汇总,verb,"We aggregate the partial sums across processing elements at the end of each cycle.",,Terminology
progressively,,逐步地；渐进地,adverb,"The learning rate is progressively reduced to stabilize the training process.",,Others
distillation,,蒸馏；知识蒸馏,noun,"Model distillation is used to transfer knowledge from the teacher network to the student network.",,Terminology
batch,,批；批次,noun,"The batch size was set to 64 during training to balance throughput and memory usage.",,Terminology
diagonally,,沿对角线地；对角地,adverb,"The dominant entries are located diagonally in the covariance matrix.",,Terminology
computationally,,在计算开销上；从计算角度看,adverb,"The exhaustive search method is computationally expensive for real-time applications.",,Others
intensive tasks,,高负载任务；密集型任务,phrase,"The GPU is reserved for computationally intensive tasks such as training and large-scale simulation.",,Others
stay constant,,保持不变,phrase,"During the sweep, all other parameters stay constant so that the effect of threshold voltage can be isolated.",,Terminology
tera,,太；万亿（10^12）,prefix,"The processor is designed for tera-scale data movement in high-throughput applications.",,Terminology
inference,,推理,noun,"The accelerator is optimized for low-latency inference rather than offline training.",,Terminology
fabricated,,制造出来的；流片完成的,adjective,"The chip was fabricated in a 28 nm CMOS process and tested under nominal voltage conditions.",,Hardware
contamination,,污染；串扰污染；对信号或测量结果的干扰,noun,"The measured delay may be affected by contamination from neighboring switching activity on the same routing channel.",,Hardware
sketch,,草绘；粗略画出；定性画出,verb,"Please sketch the transient response of the output node before deriving the exact expression.",,Hardware
transient,,瞬态；暂态,noun,"The transient at the output node becomes more pronounced when the load capacitance is increased.",,Hardware
time constant,,时间常数（τ）,noun,"The RC time constant determines how fast the node voltage approaches its final value.",,Hardware
active load,,有源负载,noun,"A PMOS transistor is used as an active load to achieve higher gain in the amplifier stage.",,Hardware
win functionally,,在功能上胜出；功能上满足要求,phrase,"Although the layout is not area-efficient, the revised design still wins functionally because it produces the correct logic levels under all test cases.",,Hardware
transaction,,事务；一次总线/协议传输,noun,"Each memory transaction is acknowledged only after the address and data phases are completed.",,Hardware
abuse,,滥用；恶意利用；篡改性使用,verb,"The protocol is designed to prevent an adversary from abusing the control channel during quantum key distribution.",,Terminology
dummy,,虚设的；占位的；伪的,adjective,"A dummy load was inserted to match the test environment used in the previous measurements.",,Hardware
retrieve,,检索；取回；读取,verb,"The controller retrieves the instruction from memory before decoding the opcode.",,Terminology
durable,,耐久的；耐用的；长期可靠的,adjective,"The interconnect material must be durable enough to withstand repeated thermal cycling.",,Hardware
